GrantId,PersonID,Role,YearofBirth,CountryofBirth,HomeLanguage,DeptNo,FacultyNo,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C
2749.0,57192.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2053.0,19.0,,Less than 0,0.0,1.0,0.0,1.0,0.0,0.0
2750.0,20497.0,CHIEF_INVESTIGATOR,1965.0,Middle East and Africa,Other,1258.0,34.0,Yes ,>5 to 10,2.0,1.0,0.0,5.0,0.0,1.0
2750,500367.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,1258.0,34.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
2750,66717.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,>10 to 15,0.0,1.0,0.0,6.0,1.0,1.0
2751.0,63772.0,CHIEF_INVESTIGATOR,1960.0,Australia,,828.0,7.0,Yes ,>5 to 10,0.0,1.0,8.0,2.0,1.0,6.0
2752.0,78962.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2668.0,25.0,,Less than 0,1.0,3.0,3.0,2.0,7.0,1.0
2752,2477.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2668.0,25.0,Yes ,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
2752,53202.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3048.0,31.0,Yes ,>=0 to 5,1.0,2.0,11.0,2.0,1.0,2.0
2753.0,491312.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2563.0,25.0,Yes ,>=0 to 5,1.0,4.0,0.0,0.0,0.0,0.0
2753,67037.0,CHIEF_INVESTIGATOR,1950.0,Eastern Europe,,2563.0,25.0,Yes ,>10 to 15,1.0,5.0,0.0,0.0,0.0,0.0
2754.0,104707.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2538.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,1.0,0.0
2754,493767.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2538.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0
2755.0,47467.0,CHIEF_INVESTIGATOR,1975.0,Australia,,593.0,7.0,Yes ,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
2756.0,80187.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3123.0,31.0,,Less than 0,2.0,1.0,3.0,10.0,12.0,5.0
2757.0,31457.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2153.0,19.0,,Less than 0,0.0,1.0,1.0,1.0,2.0,0.0
2758.0,93907.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,3073.0,31.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
2758,44737.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3073.0,31.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
2758,80717.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2298.0,46.0,,Less than 0,0.0,2.0,0.0,1.0,1.0,2.0
2759.0,636347.0,CHIEF_INVESTIGATOR,1975.0,,,3028.0,31.0,,,0.0,1.0,0.0,1.0,0.0,0.0
2760.0,147677.0,CHIEF_INVESTIGATOR,1965.0,Australia,,528.0,7.0,,,1.0,0.0,0.0,0.0,0.0,0.0
2761.0,754347.0,CHIEF_INVESTIGATOR,1965.0,,,2523.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
2762.0,66312.0,CHIEF_INVESTIGATOR,1950.0,Australia,,593.0,7.0,,,0.0,1.0,0.0,0.0,0.0,0.0
2763.0,44097.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3658.0,22.0,Yes ,>=0 to 5,0.0,0.0,2.0,3.0,3.0,1.0
2763,43562.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3658.0,22.0,Yes ,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
2764.0,72422.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,3.0,1.0,0.0
2765.0,82442.0,CHIEF_INVESTIGATOR,1955.0,Australia,,528.0,7.0,Yes ,more than 15,0.0,1.0,0.0,2.0,3.0,2.0
2766.0,96872.0,CHIEF_INVESTIGATOR,1970.0,Australia,,653.0,7.0,,,0.0,1.0,0.0,1.0,0.0,0.0
2767.0,1812.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3048.0,31.0,Yes ,>10 to 15,1.0,1.0,6.0,3.0,0.0,0.0
2768.0,4842.0,CHIEF_INVESTIGATOR,1970.0,Asia Pacific,,2153.0,19.0,Yes ,>5 to 10,0.0,2.0,0.0,18.0,1.0,1.0
2768,19832.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,2153.0,19.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
2768,144472.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,2153.0,19.0,Yes ,>=0 to 5,0.0,1.0,2.0,10.0,1.0,0.0
2769.0,2982.0,CHIEF_INVESTIGATOR,1950.0,Eastern Europe,,2668.0,25.0,Yes ,>=0 to 5,0.0,1.0,4.0,1.0,3.0,1.0
2769,69187.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2603.0,25.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2769,55437.0,CHIEF_INVESTIGATOR,1940.0,Great Britain,,2668.0,25.0,Yes ,Less than 0,1.0,8.0,4.0,1.0,3.0,1.0
2770.0,148202.0,CHIEF_INVESTIGATOR,1960.0,Australia,,528.0,7.0,,Less than 0,0.0,0.0,0.0,2.0,1.0,1.0
2770,246972.0,CHIEF_INVESTIGATOR,1950.0,Australia,,528.0,7.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0
2772.0,10662.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,1258.0,34.0,Yes ,>5 to 10,0.0,1.0,2.0,2.0,6.0,0.0
2773.0,29797.0,CHIEF_INVESTIGATOR,1975.0,Australia,,653.0,7.0,Yes ,Less than 0,0.0,1.0,0.0,0.0,1.0,2.0
2774.0,62937.0,CHIEF_INVESTIGATOR,1960.0,Australia,,528.0,7.0,Yes ,more than 15,0.0,1.0,0.0,3.0,1.0,1.0
2775.0,12677.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2163.0,19.0,Yes ,more than 15,0.0,1.0,0.0,0.0,0.0,0.0
2776.0,7387.0,CHIEF_INVESTIGATOR,1955.0,Great Britain,,653.0,7.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,4.0
2776,67412.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,English,548.0,7.0,Yes ,>10 to 15,0.0,5.0,0.0,0.0,0.0,0.0
2777.0,90132.0,CHIEF_INVESTIGATOR,1970.0,Middle East and Africa,,2653.0,25.0,,,0.0,1.0,3.0,1.0,0.0,1.0
2778.0,14267.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2178.0,19.0,Yes ,>5 to 10,1.0,1.0,3.0,1.0,5.0,5.0
2778,12887.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2678.0,25.0,Yes ,Less than 0,0.0,2.0,1.0,0.0,1.0,4.0
2778,7512.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,Less than 0,0.0,0.0,1.0,4.0,1.0,0.0
2778,132247.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1998.0,19.0,,Less than 0,0.0,3.0,6.0,12.0,3.0,0.0
2779.0,69262.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,12.0,7.0,8.0
2783.0,66197.0,CHIEF_INVESTIGATOR,1950.0,Australia,,1663.0,13.0,,more than 15,1.0,0.0,0.0,0.0,5.0,3.0
2784.0,30072.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2523.0,25.0,,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
2785.0,73757.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2923.0,25.0,Yes ,>5 to 10,1.0,1.0,3.0,5.0,9.0,3.0
2788.0,74162.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2813.0,25.0,Yes ,>5 to 10,1.0,2.0,12.0,23.0,8.0,7.0
2791.0,71037.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2853.0,25.0,Yes ,more than 15,2.0,0.0,9.0,2.0,5.0,1.0
2792.0,79142.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2763.0,25.0,Yes ,more than 15,1.0,2.0,11.0,12.0,5.0,0.0
2794.0,34177.0,CHIEF_INVESTIGATOR,1960.0,North America,,2523.0,25.0,,>=0 to 5,0.0,3.0,2.0,2.0,0.0,16.0
2800.0,68587.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2523.0,25.0,Yes ,>10 to 15,3.0,3.0,2.0,2.0,2.0,5.0
2800,63562.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2523.0,25.0,,Less than 0,1.0,2.0,0.0,0.0,0.0,0.0
2800,658177.0,DELEGATED_RESEARCHER,1980.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2801.0,448227.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2768.0,25.0,,>=0 to 5,0.0,0.0,0.0,2.0,0.0,0.0
2801,82792.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2498.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
2803.0,68857.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,2298.0,46.0,Yes ,more than 15,2.0,0.0,0.0,4.0,4.0,7.0
2804.0,35867.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1098.0,1.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,1.0,4.0
2806.0,79192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,more than 15,2.0,4.0,42.0,55.0,18.0,4.0
2807.0,752.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3658.0,22.0,Yes ,>10 to 15,1.0,0.0,2.0,0.0,6.0,2.0
2807,80817.0,CHIEF_INVESTIGATOR,1945.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2808.0,31067.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,3098.0,31.0,Yes ,>=0 to 5,0.0,0.0,4.0,4.0,3.0,3.0
2809.0,68857.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,2298.0,46.0,Yes ,more than 15,2.0,0.0,0.0,4.0,4.0,7.0
2810.0,66197.0,CHIEF_INVESTIGATOR,1950.0,Australia,,1663.0,13.0,,more than 15,1.0,0.0,0.0,0.0,5.0,3.0
2811.0,74932.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2668.0,25.0,Yes ,>10 to 15,0.0,0.0,4.0,3.0,8.0,0.0
2812.0,44252.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,Yes ,>=0 to 5,0.0,0.0,4.0,1.0,0.0,0.0
2812,73352.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>10 to 15,0.0,0.0,0.0,0.0,0.0,0.0
2812,19602.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2813.0,25.0,,more than 15,2.0,0.0,6.0,8.0,8.0,6.0
2813.0,66657.0,PRINCIPAL_SUPERVISOR,1965.0,Australia,,2668.0,25.0,,>=0 to 5,0.0,0.0,11.0,6.0,2.0,1.0
2814.0,742402.0,CHIEF_INVESTIGATOR,1975.0,,,3268.0,31.0,,,0.0,1.0,0.0,0.0,0.0,0.0
2815.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,4.0,12.0,0.0,9.0,7.0,0.0
2816.0,78762.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2668.0,25.0,Yes ,>5 to 10,0.0,0.0,15.0,4.0,7.0,1.0
2817.0,70682.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3198.0,31.0,Yes ,more than 15,1.0,1.0,10.0,2.0,5.0,1.0
2818.0,78562.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2628.0,25.0,Yes ,more than 15,3.0,0.0,6.0,6.0,5.0,3.0
2819.0,342122.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2543.0,25.0,Yes ,>=0 to 5,1.0,2.0,0.0,3.0,18.0,3.0
2821.0,68782.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2728.0,25.0,,>10 to 15,0.0,0.0,1.0,5.0,1.0,2.0
2822.0,643862.0,CHIEF_INVESTIGATOR,1980.0,Australia,,1258.0,34.0,Yes ,>=0 to 5,0.0,2.0,0.0,1.0,0.0,0.0
2822,117462.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,1258.0,34.0,Yes ,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
2823.0,808267.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2178.0,19.0,,Less than 0,1.0,0.0,2.0,4.0,0.0,0.0
2825.0,20202.0,PRINCIPAL_SUPERVISOR,1965.0,South Africa,,2668.0,25.0,Yes ,>=0 to 5,0.0,2.0,0.0,0.0,6.0,9.0
2826.0,79277.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2773.0,25.0,,Less than 0,0.0,0.0,12.0,4.0,6.0,10.0
2826,79122.0,PRINCIPAL_SUPERVISOR,1950.0,Australia,,2763.0,25.0,,more than 15,0.0,1.0,0.0,0.0,0.0,0.0
2827.0,615307.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2768.0,25.0,,,0.0,0.0,1.0,10.0,10.0,1.0
2827,74527.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2533.0,25.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
2827,367942.0,PRINCIPAL_SUPERVISOR,1980.0,Australia,,2533.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,1.0,2.0,0.0
2828.0,139852.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2828,39562.0,CHIEF_INVESTIGATOR,1945.0,Great Britain,,2153.0,19.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
2828,112337.0,DELEGATED_RESEARCHER,1945.0,Australia,,2153.0,19.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
2829.0,40947.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2653.0,25.0,Yes ,>=0 to 5,0.0,3.0,6.0,2.0,0.0,1.0
2830.0,606322.0,CHIEF_INVESTIGATOR,1975.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2830,74827.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,2768.0,25.0,Yes ,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
2831.0,615307.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2768.0,25.0,,,0.0,1.0,1.0,10.0,10.0,1.0
2831,65342.0,CHIEF_INVESTIGATOR,1955.0,Great Britain,,2768.0,25.0,Yes ,>10 to 15,0.0,0.0,0.0,0.0,0.0,0.0
2832.0,70322.0,CHIEF_INVESTIGATOR,1945.0,Eastern Europe,,2298.0,46.0,Yes ,more than 15,1.0,2.0,0.0,0.0,7.0,6.0
2832,30457.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2558.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
2833.0,74832.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2768.0,25.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
2833,7482.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2768.0,25.0,,>10 to 15,0.0,0.0,0.0,0.0,0.0,0.0
2833,18817.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2768.0,25.0,,Less than 0,0.0,0.0,2.0,3.0,4.0,0.0
2834.0,11342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2558.0,25.0,Yes ,>=0 to 5,0.0,4.0,1.0,1.0,2.0,2.0
2834,30457.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2558.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
2834,694317.0,CHIEF_INVESTIGATOR,1980.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2836.0,2557.0,CHIEF_INVESTIGATOR,1935.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2836,79232.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2558.0,25.0,,Less than 0,0.0,2.0,0.0,0.0,0.0,0.0
2836,73042.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2836,15437.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,2.0,22.0,14.0
2837.0,491322.0,CHIEF_INVESTIGATOR,1955.0,Australia,,1098.0,1.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,1.0
2837,291112.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1098.0,1.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
2839.0,74492.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2653.0,25.0,Yes ,>10 to 15,2.0,2.0,2.0,6.0,7.0,1.0
2839,22362.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2840.0,16737.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3658.0,22.0,Yes ,>10 to 15,0.0,0.0,5.0,14.0,13.0,15.0
2841.0,64807.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3198.0,31.0,Yes ,more than 15,3.0,0.0,16.0,7.0,18.0,4.0
2842.0,110472.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2973.0,25.0,,>=0 to 5,0.0,3.0,0.0,8.0,6.0,6.0
2843.0,28502.0,CHIEF_INVESTIGATOR,1970.0,New Zealand,,2603.0,25.0,Yes ,>=0 to 5,0.0,2.0,7.0,8.0,5.0,2.0
2843,35602.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0
2843,69262.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,12.0,7.0,8.0
2844.0,34177.0,CHIEF_INVESTIGATOR,1960.0,North America,,2523.0,25.0,,>=0 to 5,0.0,4.0,2.0,2.0,0.0,16.0
2844,421337.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2523.0,25.0,Yes ,,0.0,0.0,0.0,0.0,0.0,0.0
2846.0,110472.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2973.0,25.0,,>=0 to 5,0.0,3.0,0.0,8.0,6.0,6.0
2846,36252.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2973.0,25.0,Yes ,>=0 to 5,0.0,9.0,0.0,0.0,0.0,0.0
2849.0,105342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2678.0,25.0,Yes ,>=0 to 5,1.0,1.0,2.0,4.0,8.0,2.0
2850.0,407.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2713.0,25.0,,>10 to 15,1.0,0.0,6.0,3.0,6.0,2.0
2851.0,14777.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2628.0,25.0,Yes ,>=0 to 5,2.0,1.0,16.0,4.0,1.0,1.0
2852.0,9067.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,3.0,4.0,10.0,15.0,4.0,3.0
2852,8067.0,CHIEF_INVESTIGATOR,1960.0,Western Europe,Other,1998.0,19.0,Yes ,>5 to 10,0.0,2.0,0.0,0.0,0.0,0.0
2852,80137.0,DELEGATED_RESEARCHER,1950.0,Australia,,2163.0,19.0,Yes ,more than 15,0.0,0.0,3.0,8.0,1.0,0.0
2853.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,4.0,12.0,0.0,9.0,7.0,0.0
2853,147857.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2678.0,25.0,,Less than 0,1.0,4.0,0.0,0.0,0.0,0.0
2855.0,67842.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>5 to 10,0.0,3.0,7.0,25.0,10.0,2.0
2856.0,498427.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,2668.0,25.0,Yes ,>=0 to 5,1.0,2.0,1.0,7.0,5.0,0.0
2858.0,69262.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,12.0,7.0,8.0
2859.0,114842.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2578.0,25.0,Yes ,>=0 to 5,0.0,1.0,3.0,1.0,1.0,0.0
2860.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,4.0,12.0,0.0,9.0,7.0,0.0
2860,10127.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2678.0,25.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
2861.0,72037.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,Yes ,>5 to 10,1.0,4.0,5.0,5.0,6.0,0.0
2862.0,78827.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2498.0,25.0,Yes ,more than 15,0.0,0.0,4.0,13.0,6.0,2.0
2863.0,8462.0,DELEGATED_RESEARCHER,1950.0,Australia,,2713.0,25.0,Yes ,>5 to 10,0.0,0.0,1.0,0.0,4.0,0.0
2864.0,12957.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,2603.0,25.0,Yes ,>5 to 10,1.0,8.0,21.0,7.0,9.0,1.0
2865.0,4877.0,PRINCIPAL_SUPERVISOR,1960.0,,,,,,,0.0,0.0,0.0,5.0,4.0,5.0
2868.0,40797.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2713.0,25.0,Yes ,>=0 to 5,1.0,1.0,3.0,3.0,1.0,0.0
2869.0,72652.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2563.0,25.0,,Less than 0,0.0,1.0,0.0,2.0,1.0,2.0
2870.0,8462.0,DELEGATED_RESEARCHER,1950.0,Australia,,2713.0,25.0,Yes ,>5 to 10,0.0,0.0,1.0,0.0,4.0,0.0
2871.0,498427.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,2668.0,25.0,Yes ,>=0 to 5,1.0,2.0,1.0,7.0,5.0,0.0
2872.0,75587.0,CHIEF_INVESTIGATOR,1940.0,Great Britain,,2178.0,19.0,,Less than 0,0.0,0.0,1.0,0.0,6.0,0.0
2873.0,72037.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,Yes ,>5 to 10,1.0,4.0,5.0,5.0,6.0,0.0
2874.0,36527.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2653.0,25.0,,>=0 to 5,3.0,5.0,0.0,0.0,0.0,0.0
2875.0,144462.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2578.0,25.0,,Less than 0,1.0,0.0,1.0,1.0,1.0,0.0
2877.0,16582.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2548.0,25.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
2877,10002.0,CHIEF_INVESTIGATOR,1950.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2878.0,28607.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,2763.0,25.0,Yes ,>5 to 10,3.0,2.0,3.0,12.0,9.0,6.0
2878,77652.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2563.0,25.0,,>10 to 15,1.0,0.0,0.0,0.0,0.0,0.0
2878,497677.0,CHIEF_INVESTIGATOR,1980.0,Australia,English,2788.0,25.0,Yes ,Less than 0,0.0,0.0,0.0,1.0,0.0,0.0
2878,78992.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2763.0,25.0,Yes ,more than 15,1.0,0.0,6.0,15.0,5.0,6.0
2879.0,16647.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,,2778.0,25.0,Yes ,>5 to 10,1.0,0.0,6.0,6.0,4.0,0.0
2881.0,115417.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,Other,2253.0,19.0,Yes ,>=0 to 5,0.0,4.0,0.0,5.0,4.0,0.0
2882.0,636757.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2578.0,25.0,Yes ,>=0 to 5,1.0,3.0,0.0,0.0,2.0,0.0
2883.0,67037.0,CHIEF_INVESTIGATOR,1950.0,Eastern Europe,,2563.0,25.0,Yes ,>10 to 15,2.0,5.0,3.0,5.0,15.0,3.0
2885.0,10592.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,English,2893.0,25.0,Yes ,>5 to 10,2.0,2.0,3.0,9.0,2.0,0.0
2886.0,79427.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2498.0,25.0,,>=0 to 5,0.0,1.0,2.0,1.0,1.0,4.0
2887.0,69212.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2778.0,25.0,,more than 15,0.0,1.0,0.0,1.0,5.0,0.0
2888.0,66657.0,PRINCIPAL_SUPERVISOR,1965.0,Australia,,2668.0,25.0,,>=0 to 5,0.0,0.0,11.0,6.0,2.0,1.0
2889.0,124832.0,CHIEF_INVESTIGATOR,1970.0,North America,,3028.0,31.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
2889,1217.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,3028.0,31.0,Yes ,more than 15,2.0,1.0,0.0,0.0,0.0,0.0
2891.0,22982.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2628.0,25.0,Yes ,>5 to 10,1.0,0.0,16.0,5.0,5.0,0.0
2892.0,646977.0,CHIEF_INVESTIGATOR,1980.0,Great Britain,,2563.0,25.0,,Less than 0,1.0,0.0,0.0,0.0,0.0,0.0
2892,12177.0,CHIEF_INVESTIGATOR,1960.0,,,2563.0,25.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
2892,2712.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2563.0,25.0,Yes ,>10 to 15,1.0,3.0,17.0,32.0,24.0,16.0
2893.0,78762.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2668.0,25.0,Yes ,>5 to 10,0.0,0.0,15.0,4.0,7.0,1.0
2894.0,85862.0,CHIEF_INVESTIGATOR,1950.0,Western Europe,,2728.0,25.0,,>=0 to 5,4.0,0.0,0.0,3.0,11.0,3.0
2895.0,15282.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2713.0,25.0,Yes ,>5 to 10,1.0,2.0,1.0,1.0,2.0,0.0
2896.0,16642.0,PRINCIPAL_SUPERVISOR,1965.0,Australia,,2763.0,25.0,Yes ,>=0 to 5,0.0,0.0,4.0,2.0,1.0,0.0
2897.0,6292.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2578.0,25.0,Yes ,>=0 to 5,1.0,0.0,2.0,5.0,4.0,2.0
2898.0,105342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2678.0,25.0,Yes ,>=0 to 5,1.0,1.0,2.0,4.0,8.0,2.0
2900.0,64337.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2558.0,25.0,Yes ,more than 15,0.0,0.0,4.0,14.0,6.0,1.0
2902.0,11747.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2298.0,46.0,Yes ,>=0 to 5,0.0,0.0,1.0,1.0,3.0,0.0
