"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
3908	"RFCD320202"	100	"SEO730102"	60	7342	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration5to10"	0	3	6	2	0	1
3909	"RFCD321018"	100	"SEO730111"	50	23342	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	"Dept2883"	"Faculty25"	"Yes "	"Duration5to10"	0	1	1	0	13	6
3910	"RFCD321028"	100	"SEO730114"	100	20937	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration5to10"	0	4	3	3	2	0
3911	"RFCD321202"	100	"SEO730201"	50	17877	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	4	1
3912	"RFCD321015"	100	"SEO730108"	100	314487	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"DurationLT0"	0	2	1	1	4	1
3913	"RFCD321015"	100	"SEO730108"	100	314487	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"DurationLT0"	0	2	1	1	4	1
3914	"RFCD321017"	100	"SEO730114"	100	71037	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2853"	"Faculty25"	"Yes "	"DurationGT15"	4	1	9	2	5	1
3915	"RFCD320402"	100	"SEO670401"	50	115247	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2628"	"Faculty25"	"Yes "	"Duration0to5"	0	2	3	0	0	0
3916	"RFCD320799"	100	"SEO730104"	100	449137	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	0	1	4	0	0	1
3917	"RFCD321004"	100	"SEO730105"	100	40492	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationUnk"	0	2	0	0	0	0
3918	"RFCD321011"	100	"SEO730107"	70	53237	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
3919	"RFCD321016"	100	"SEO730111"	50	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3920	"RFCD321029"	100	"SEO730109"	60	3692	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2828"	"Faculty25"	""	"DurationLT0"	2	1	2	5	11	15
3921	"RFCD321029"	100	"SEO730108"	40	28832	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	"Dept2728"	"Faculty25"	""	"DurationLT0"	0	0	1	2	1	0
3922	"RFCD321015"	100	"SEO730201"	10	17342	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2828"	"Faculty25"	"Yes "	"Duration0to5"	1	14	7	17	17	3
3923	"RFCD320702"	100	"SEO730104"	80	92492	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
3924	"RFCD270107"	100	"SEO730104"	100	498427	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	2	6	1	7	5	0
3925	"RFCD320704"	100	"SEO730104"	60	68232	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	NA	"Dept2678"	"Faculty25"	"Yes "	"DurationGT15"	1	3	7	5	13	0
3926	"RFCD320206"	100	"SEO730108"	100	2232	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationLT0"	0	1	0	0	2	0
3927	"RFCD320702"	100	"SEO730104"	100	73882	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	2	2	5	7	4	1
3928	"RFCD321014"	100	"SEO730116"	20	46132	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2893"	"Faculty25"	"Yes "	"Duration0to5"	5	5	6	5	1	0
3929	"RFCD321015"	100	"SEO730108"	50	33167	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	5	9	6	2	4
3930	"RFCD249902"	100	"SEO730108"	80	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3931	"RFCD321299"	100	"SEO730217"	50	73612	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration10to15"	0	1	4	7	11	7
3932	"RFCD270103"	100	"SEO730102"	40	39812	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration0to5"	2	1	7	17	3	3
3933	"RFCD321015"	100	"SEO670403"	10	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	3	6	0	0	0	0
3934	"RFCD270103"	100	"SEO730108"	60	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3935	"RFCD320305"	100	"SEO730108"	100	82502	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration5to10"	4	3	0	2	0	0
3936	"RFCD321003"	100	"SEO670499"	100	105337	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2828"	"Faculty25"	""	"Duration0to5"	1	2	8	6	5	1
3937	NA	NA	NA	NA	63757	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration10to15"	0	1	6	4	0	3
3938	"RFCD321015"	100	"SEO730108"	50	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3939	"RFCD321004"	100	"SEO730114"	50	84622	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2973"	"Faculty25"	""	"Duration0to5"	0	7	8	10	2	5
3940	"RFCD380103"	100	"SEO780108"	100	60697	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2558"	"Faculty25"	""	"DurationUnk"	0	0	2	1	2	0
3941	"RFCD270103"	100	"SEO730108"	100	16642	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	1	4	2	1	0
3942	"RFCD321021"	100	"SEO730211"	60	84622	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2973"	"Faculty25"	""	"Duration0to5"	0	7	8	10	2	5
3943	"RFCD321204"	100	"SEO730205"	50	47517	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	"English"	"Dept2533"	"Faculty25"	""	"DurationUnk"	1	1	1	8	2	2
3944	"RFCD320207"	100	"SEO730105"	100	82697	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2668"	"Faculty25"	""	"Duration0to5"	0	4	0	0	1	0
3945	"RFCD321015"	100	"SEO730108"	80	802167	"PRINCIPAL_SUPERVISOR"	"1975"	NA	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	0	3	0	0	0	0
3946	"RFCD321214"	100	"SEO730304"	50	25267	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2518"	"Faculty25"	"Yes "	"Duration5to10"	0	2	1	2	7	8
3947	"RFCD321204"	100	"SEO730211"	75	65387	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration10to15"	0	4	2	7	14	1
3948	"RFCD270106"	100	"SEO730108"	50	98187	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationUnk"	1	1	0	0	0	0
3949	"RFCD321021"	100	"SEO730104"	95	33812	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration5to10"	0	2	4	7	6	2
3950	"RFCD321405"	100	"SEO730104"	50	32822	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration5to10"	1	1	2	57	6	0
3951	"RFCD380101"	100	"SEO730111"	70	73717	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration0to5"	0	5	0	0	2	0
3952	"RFCD321026"	100	"SEO730118"	70	79607	"CHIEF_INVESTIGATOR"	"1935"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	6	2	0
3953	"RFCD320702"	100	"SEO730106"	90	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"DurationGT15"	3	4	10	15	4	3
3954	"RFCD321015"	100	"SEO730201"	25	77977	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	0	1	13	5	0
3955	"RFCD321216"	100	"SEO730106"	20	34177	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2523"	"Faculty25"	""	"Duration0to5"	0	5	2	2	0	16
3956	"RFCD270106"	100	"SEO730107"	100	9227	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	4	0	3	4	4
3957	"RFCD321010"	100	"SEO730101"	50	137507	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"Duration0to5"	0	2	0	0	0	0
3958	"RFCD321010"	100	"SEO730101"	40	75127	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2628"	"Faculty25"	"Yes "	"Duration5to10"	1	2	4	2	1	3
3959	"RFCD380107"	100	"SEO730301"	25	691177	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	0	1	1	4	0	0
3960	"RFCD321013"	100	"SEO730104"	50	63552	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2558"	"Faculty25"	""	"DurationLT0"	1	1	0	5	0	2
3961	"RFCD321015"	100	"SEO730306"	50	78342	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	3	2	1	5	0
3962	"RFCD321003"	100	"SEO730106"	75	107862	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"Duration0to5"	4	2	1	0	3	0
3963	"RFCD320702"	100	"SEO730211"	70	79242	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"DurationGT15"	0	5	1	10	11	2
3964	"RFCD270201"	100	"SEO780105"	100	80387	"CHIEF_INVESTIGATOR"	"1945"	"GreatBritain"	NA	"Dept3258"	"Faculty31"	""	"DurationUnk"	0	3	3	1	1	0
3965	NA	NA	NA	NA	7047	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	0	3	8	4	3	5
3966	"RFCD320305"	100	"SEO730106"	100	20202	"PRINCIPAL_SUPERVISOR"	"1965"	"SouthAfrica"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	0	2	0	0	6	9
3967	"RFCD321299"	100	"SEO730199"	40	7747	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2518"	"Faculty25"	"Yes "	"Duration0to5"	0	1	1	3	1	0
3968	"RFCD321299"	100	"SEO730108"	25	20122	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	5	0	9	4	1
3969	"RFCD321015"	100	"SEO730108"	100	407	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"Duration10to15"	1	1	6	3	6	2
3970	"RFCD321206"	100	"SEO670401"	60	13682	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"English"	"Dept1258"	"Faculty34"	"Yes "	"Duration5to10"	1	2	1	15	1	0
3971	"RFCD321015"	100	"SEO730108"	100	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	9	4	6	2	0
3972	"RFCD321023"	100	"SEO730108"	100	110177	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	2	1	1	0	3	1
3973	"RFCD329903"	100	"SEO670403"	80	35602	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration0to5"	1	2	13	6	6	6
3974	"RFCD320799"	100	"SEO730104"	50	40797	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration0to5"	1	2	3	3	1	0
3975	"RFCD260109"	70	"SEO650203"	100	1012	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	"English"	"Dept3123"	"Faculty31"	"Yes "	"Duration5to10"	1	0	10	1	12	0
3976	"RFCD320702"	100	"SEO670403"	35	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3977	"RFCD321202"	100	"SEO730299"	100	66922	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration10to15"	0	0	4	9	6	0
3978	"RFCD320702"	100	"SEO730104"	100	4082	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration10to15"	0	1	0	3	2	1
3979	"RFCD321204"	60	"SEO730207"	100	73757	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration5to10"	2	1	3	5	9	3
3980	"RFCD270105"	100	"SEO730108"	100	38697	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"DurationUnk"	2	2	3	4	0	0
3981	"RFCD320899"	100	"SEO730114"	20	8377	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	"English"	"Dept2553"	"Faculty25"	"Yes "	"Duration5to10"	1	0	6	3	2	2
3982	"RFCD321020"	100	"SEO670402"	20	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	3	6	0	0	0	0
3983	"RFCD321029"	100	"SEO730109"	70	28832	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	"Dept2728"	"Faculty25"	""	"DurationLT0"	0	0	1	2	1	0
3984	"RFCD321021"	100	"SEO730202"	50	16892	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	0	2	2
3985	"RFCD320502"	100	"SEO670403"	25	147717	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	0	4	2	1	0	0
3986	"RFCD321204"	100	"SEO730211"	30	65712	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	"Dept2523"	"Faculty25"	""	"DurationGT15"	0	4	0	2	4	8
3987	"RFCD270804"	30	"SEO620208"	60	6012	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	"Dept1038"	"Faculty1"	"Yes "	"Duration10to15"	0	0	0	26	1	26
3988	"RFCD270103"	50	"SEO670403"	50	74302	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration10to15"	2	1	1	1	4	0
3989	"RFCD270108"	40	"SEO670403"	40	111122	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	2	1	4	5	5	0
3990	"RFCD270104"	50	"SEO780105"	50	23997	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2628"	"Faculty25"	""	"DurationLT0"	4	1	17	10	5	0
3991	"RFCD270402"	50	"SEO620399"	100	12282	"PRINCIPAL_SUPERVISOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	1	3
3992	"RFCD321015"	100	"SEO730201"	10	17342	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2828"	"Faculty25"	"Yes "	"Duration0to5"	1	17	7	17	17	3
3993	"RFCD321015"	100	"SEO730306"	50	78342	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	4	2	1	5	0
3994	"RFCD321015"	100	"SEO730108"	100	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	11	4	6	2	0
3995	NA	NA	NA	NA	66197	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1663"	"Faculty13"	""	"DurationGT15"	1	0	0	0	5	3
3996	"RFCD270501"	70	"SEO770703"	100	54737	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	"English"	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	3	1	0	1	1	0
3997	"RFCD270106"	100	"SEO730108"	100	803057	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	1	0	0	0	0
3998	"RFCD321015"	100	"SEO730108"	80	801752	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	1	0	0	0	0
3999	"RFCD321006"	100	"SEO730113"	40	73942	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2728"	"Faculty25"	"Yes "	"Duration10to15"	2	1	5	16	3	5
4000	"RFCD321020"	100	"SEO670402"	20	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	4	6	0	0	0	0
4001	"RFCD270106"	100	"SEO730108"	50	98187	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationUnk"	2	1	0	0	0	0
4002	"RFCD320206"	100	"SEO730108"	100	148087	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	6	5	1	0	0
4003	"RFCD321011"	100	"SEO730107"	70	53237	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationUnk"	0	2	0	0	0	0
4004	"RFCD270603"	60	"SEO730114"	60	18567	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1038"	"Faculty1"	"Yes "	"Duration5to10"	1	0	4	8	12	3
4005	"RFCD321015"	100	"SEO730108"	50	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4006	"RFCD321015"	100	"SEO730108"	50	33167	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	5	9	6	2	4
4007	"RFCD321015"	100	"SEO730108"	80	78342	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	4	2	1	5	0
4008	"RFCD270401"	100	"SEO770703"	50	31322	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration0to5"	1	1	0	0	0	0
4009	"RFCD321023"	100	"SEO730108"	100	10577	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	0	1	3	4	3	1
4010	"RFCD320206"	100	"SEO730108"	100	2232	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationLT0"	0	2	0	0	2	0
4011	"RFCD291499"	40	"SEO640402"	40	126927	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration0to5"	1	4	11	6	4	0
4012	"RFCD321015"	100	"SEO730108"	70	44697	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	3	2	1	1	0	0
4013	"RFCD270103"	100	"SEO730108"	60	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4014	"RFCD390405"	100	"SEO750505"	100	36472	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept828"	"Faculty7"	""	"Duration0to5"	1	0	0	0	1	0
4015	"RFCD291405"	50	"SEO670306"	100	65782	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration0to5"	1	1	0	0	0	2
4016	"RFCD321015"	100	"SEO730108"	100	720017	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	2	2	0	0	0	0
4017	"RFCD321029"	100	"SEO730108"	40	28832	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	"Dept2728"	"Faculty25"	""	"DurationLT0"	0	0	1	2	1	0
4018	"RFCD321015"	100	"SEO730201"	10	17342	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2828"	"Faculty25"	"Yes "	"Duration0to5"	1	17	7	17	17	3
4019	"RFCD321202"	100	"SEO730107"	10	76352	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration10to15"	1	0	5	8	1	1
4020	"RFCD270103"	100	"SEO730108"	100	16642	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	2	4	2	1	0
4021	"RFCD321015"	100	"SEO670403"	50	10157	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	5	2	0
4022	"RFCD321021"	100	"SEO730202"	50	16892	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	0	2	2
4023	"RFCD321015"	100	"SEO730108"	80	802167	"PRINCIPAL_SUPERVISOR"	"1975"	NA	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	0	4	0	0	0	0
4024	"RFCD321015"	100	"SEO730201"	40	77977	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	0	1	13	5	0
4025	"RFCD270106"	100	"SEO730108"	50	15282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	"English"	"Dept2713"	"Faculty25"	"Yes "	"Duration5to10"	1	5	1	1	2	0
4026	"RFCD270104"	50	"SEO780105"	50	23997	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2628"	"Faculty25"	""	"DurationLT0"	4	1	17	10	5	0
4027	"RFCD321020"	100	"SEO670402"	20	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	4	6	0	0	0	0
4028	"RFCD280401"	70	"SEO700103"	100	255582	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	"English"	"Dept2163"	"Faculty19"	"Yes "	"Duration0to5"	1	2	1	1	1	0
4029	"RFCD270106"	100	"SEO730108"	50	98187	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationUnk"	2	1	0	0	0	0
4030	"RFCD420308"	70	"SEO730207"	100	159607	"CHIEF_INVESTIGATOR"	"1955"	"TheAmericas"	"OtherLang"	"Dept2553"	"Faculty25"	"Yes "	"Duration0to5"	1	6	0	5	7	8
4031	"RFCD300903"	100	"SEO770102"	50	26877	"CHIEF_INVESTIGATOR"	"1935"	"Australia"	NA	"Dept3123"	"Faculty31"	""	"Duration5to10"	0	1	0	2	5	3
4032	"RFCD300403"	100	"SEO630103"	50	488857	"PRINCIPAL_SUPERVISOR"	"1965"	"GreatBritain"	NA	"Dept1038"	"Faculty1"	""	"DurationUnk"	1	0	1	4	11	0
4033	"RFCD321020"	100	"SEO670402"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4034	"RFCD321015"	100	"SEO730103"	50	98222	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	4	3	5	1	0	1
4035	"RFCD321029"	100	"SEO730109"	90	372082	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2578"	"Faculty25"	""	"Duration0to5"	0	2	0	0	0	0
4036	"RFCD321023"	100	"SEO730108"	100	110177	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	2	3	1	0	3	1
4037	"RFCD321202"	100	"SEO730201"	50	17877	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	4	1
4038	"RFCD321015"	100	"SEO730108"	70	44697	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	3	2	1	1	0	0
4039	"RFCD270105"	100	"SEO670403"	20	734322	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	1	9	0	0	0	0
4040	"RFCD290699"	100	"SEO780103"	100	22847	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration0to5"	3	0	4	4	1	0
4041	"RFCD270105"	100	"SEO730108"	100	38697	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"DurationUnk"	2	3	3	4	0	0
4042	"RFCD321023"	100	"SEO730108"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4043	"RFCD321015"	100	"SEO730201"	40	77977	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	0	1	13	5	0
4044	"RFCD321006"	100	"SEO730108"	60	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4045	"RFCD321006"	100	"SEO730108"	60	143357	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	NA	"Dept2728"	"Faculty25"	"Yes "	"Duration0to5"	2	1	0	1	10	0
4046	"RFCD321015"	100	"SEO670403"	10	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	4	6	0	0	0	0
4047	"RFCD270103"	100	"SEO730104"	50	63942	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"DurationUnk"	1	2	1	1	1	5
